,,Time in (us),,,,,,,,,,,,,,,,,,,
Little Frequency,Big Frequency,Size: 4K,Size: 8K,Size: 16K,Size: 32K,Size: 64K,Size: 128K,Size: 256K,Size: 512K,Size: 1M,Size: 2M,Size: 4M,Size: 8M,,,,,,,,
200,800,3,3,1989,4557,9292,20546,38769,78209,153741,320189,718124,1459960,,,,,,,718124.5327,1459960.985
200,1200,3,3,1584,5680,9077,20469,39584,79555,167389,337480,728018,1497633,,,,,,,728018.2362,1497633.028
200,1600,2,2,1724,4643,10704,19538,40659,80619,160064,300607,700043,1303649,,,,,,,700043.0107,1303649.378
200,2000,2,2,1801,4280,9465,20662,41247,88838,169326,352946,735220,1416129,,,,,,,735220.9568,1416129.78
600,800,3,3,1520,3809,7392,14468,29105,64726,108619,221720,522982,1034613,,,,,,,522982.8358,1034613.943
600,1200,2,2,1133,3550,6948,13872,28302,53444,113053,225097,524909,1110449,,,,,,,524909.1148,1110449.743
600,1600,2,2,1216,5888,7198,14205,27890,56538,105641,224977,490440,953188,,,,,,,490440.0826,953188.8962
600,2000,2,2,1238,3471,9732,15043,28977,63650,117505,236011,489085,1012891,,,,,,,489085.1021,1012891.817
1000,800,,,,,,,,,,,496411,972967,,,,,,,496411.2282,972967.3862
1000,1200,2,3,1152,3296,6686,14116,30636,53793,119548,228324,489820,1080027,,,,,,,489820.8141,1080027.533
1000,1600,2,3,1224,3434,6727,14536,27427,52928,110351,237946,470131,965328,,,,,,,470131.3496,965328.4073
1000,2000,2,2,1288,3590,6601,13710,28366,65810,112631,245158,520772,1100926,,,,,,,520772.6002,1100926.876
1400,800,,,,,,,,,,,509592,942627,,,,,,,509592.6762,942627.6684
1400,1200,,,,,,,,,,,530690,1076970,,,,,,,530690.5746,1076970.768
1400,1600,2,2,1216,3376,6360,14784,28245,58557,104552,193375,494284,894930,,,,,,,494284.3914,894930.4581
1400,2000,2,2,1202,3730,6360,14931,32142,59087,114181,228615,437722,1103005,,,,,,,437722.4445,1103005.171
